Loss Type,Beta,Pearson Correlation,Spearman Correlation,Entropy,Active Neurons
Beta,1,0.20956033307592226,0.25751123607707943,1.8588164,5.009685502135945
Beta,1,0.17515853686162697,0.21393284328547785,1.8619838,5.024660105140392
Beta,1,0.18389621503171513,0.21497164744417827,1.8776691,5.070403061645666
Beta,1,0.1659220570871102,0.20319483710295644,1.871115,5.069601226285802
Beta,1,0.20812324274500754,0.2396174590721642,1.8672018,5.047327554537128
TC,1,0.2160393434844853,0.24405641772637085,1.7005395,4.727080791123356
TC,1,0.1847091118802701,0.21269559092405654,1.7030956,4.696521748145841
TC,1,0.2018868284668624,0.23023711078109071,1.710412,4.729763780359318
TC,1,0.199151623995394,0.2367848775869419,1.878746,5.078036440375256
TC,1,0.18913902003236735,0.22699042920477672,1.7051965,4.72863086269973
Beta,5,0.2203593857756766,0.2529208423266069,1.3408033,3.8810154768504517
Beta,5,0.42756232553097917,0.41849010457183494,1.539133,3.8009960637884577
Beta,5,0.19992871170425516,0.2234476676688813,1.3296554,3.845808664360208
Beta,5,0.21089185417330997,0.2419355158156891,1.3480052,3.899466688523641
Beta,5,0.20183891477440039,0.23106698876309578,1.3303372,3.851879941048767
TC,5,0.2708654921266601,0.2968465148279135,1.4218445,3.835129426281812
TC,5,0.4188356411142916,0.4013399092742285,1.4721596,3.559071244216085
TC,5,0.19805857526367954,0.22779286443017638,1.3236704,3.793624518830318
TC,5,0.262992675887788,0.2923035110302345,1.3591967,3.912904228502929
TC,5,0.25652749008756287,0.2842797026038927,1.364705,3.9069380961193048
Beta,10,0.24393569050375952,0.28730580025937,1.0108533,3.031456437394049
Beta,10,0.23813854639041523,0.27148429314054034,1.00333,3.0208959390237364
Beta,10,0.2327536963840789,0.26520291417492886,1.010377,3.0357633437414786
Beta,10,0.2675386853102456,0.28107929340449544,0.78798264,2.473157001280511
Beta,10,0.2628941050248695,0.2917238958043116,1.007726,3.0194954168820085
TC,10,0.21509482597686222,0.24959808181409956,1.2033532,3.5159455495301075
TC,10,0.23117763022864005,0.26894675750660774,1.0305734,3.058555988217578
TC,10,0.22203071357152074,0.2527713399453998,1.0253476,2.9985174163960955
TC,10,0.2367473156308187,0.2895327482790788,1.2038329,3.5133942107447895
TC,10,0.23438852209815883,0.2491989168786284,1.025723,3.02216598441869
